latitud_grados,x_seno,temperatura_C,temperatura_K
-90.0,-1.0,-44.292564,228.85742
-87.5,-0.99904823,-41.433094,231.7169
-85.0,-0.9961947,-36.20011,236.94989
-82.5,-0.9914448,-33.903435,239.24655
-80.0,-0.9848077,-33.8404,239.3096
-77.5,-0.976296,-32.430054,240.71994
-75.0,-0.9659258,-29.100508,244.04948
-72.5,-0.95371693,-23.818922,249.33107
-70.0,-0.9396926,-17.180826,255.96916
-67.5,-0.9238795,-11.215587,261.93442
-65.0,-0.90630776,-6.922386,266.2276
-62.5,-0.8870108,-3.5773823,269.5726
-60.0,-0.86602545,-0.7702461,272.37976
-57.5,-0.8433915,1.2698294,274.41983
-55.0,-0.81915206,2.9034956,276.0535
-52.5,-0.7933533,4.4113703,277.56137
-50.0,-0.76604444,5.9458103,279.0958
-47.5,-0.7372773,7.6641574,280.81415
-45.0,-0.70710677,9.4909315,282.64093
-42.5,-0.67559016,11.432878,284.5829
-40.0,-0.6427876,13.3091955,286.4592
-37.5,-0.6087614,14.935072,288.08505
-35.0,-0.57357645,16.406546,289.55655
-32.5,-0.53729963,17.716335,290.86633
-30.0,-0.5,18.914835,292.06482
-27.5,-0.4617486,20.085047,293.23505
-25.0,-0.42261827,21.157661,294.30765
-22.5,-0.38268346,22.126259,295.27625
-20.0,-0.34202012,22.917524,296.0675
-17.5,-0.3007058,23.560356,296.71036
-15.0,-0.25881904,24.09893,297.24893
-12.5,-0.21643962,24.663292,297.8133
-10.0,-0.17364818,25.185577,298.33557
-7.5,-0.1305262,25.440275,298.59027
-5.0,-0.08715574,25.618832,298.76883
-2.5,-0.043619387,25.589548,298.73953
0.0,0.0,25.657036,298.80704
2.5,0.043619387,25.98647,299.13647
5.0,0.08715574,26.100983,299.25098
7.5,0.1305262,26.235647,299.38565
10.0,0.17364818,26.441036,299.59103
12.5,0.21643962,26.515903,299.6659
15.0,0.25881904,26.265554,299.41556
17.5,0.3007058,25.860209,299.0102
20.0,0.34202012,25.205809,298.3558
22.5,0.38268346,24.212046,297.36203
25.0,0.42261827,23.314972,296.46497
27.5,0.4617486,21.57905,294.72903
30.0,0.5,19.270182,292.42017
32.5,0.53729963,17.126965,290.27695
35.0,0.57357645,15.026204,288.1762
37.5,0.6087614,13.916133,287.06613
40.0,0.6427876,12.612265,285.76227
42.5,0.67559016,10.504894,283.65488
45.0,0.70710677,8.775157,281.92514
47.5,0.7372773,6.699629,279.8496
50.0,0.76604444,4.870668,278.02066
52.5,0.7933533,3.8122804,276.96228
55.0,0.81915206,2.6331859,275.78317
57.5,0.8433915,1.5951543,274.74515
60.0,0.86602545,-0.27598798,272.874
62.5,0.8870108,-2.7821999,270.3678
65.0,0.90630776,-4.6784286,268.47156
67.5,0.9238795,-6.6160517,266.53394
70.0,0.9396926,-8.065668,265.08432
72.5,0.95371693,-9.420585,263.7294
75.0,0.9659258,-11.088745,262.06125
77.5,0.976296,-12.584581,260.5654
80.0,0.9848077,-14.1603985,258.9896
82.5,0.9914448,-14.946324,258.20367
85.0,0.9961947,-15.597734,257.55225
87.5,0.99904823,-15.66766,257.48233
90.0,1.0,-15.11104,258.03894
